"","HCC1806","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3660","CLTC",9.86738432785859,9.86738432785859,76.546477234554,4.05609676713055e-10,3.86513028572806e-07,7.49255995071052
"17767","RPL13AP5",9.93237573199595,9.93237573199596,76.4458522803183,4.08786593387401e-10,3.86513028572806e-07,7.49202086063176
"17851","RPS12",9.42814638472002,9.42814638472002,75.8701153813937,4.27532774988633e-10,3.86513028572806e-07,7.48889674450552
"17819","RPL4",10.3239465026659,10.3239465026659,75.7754163624319,4.30711508637323e-10,3.86513028572806e-07,7.48837633172607
"17850","RPS11",9.3996914276149,9.3996914276149,75.3195010018435,4.46406967186656e-10,3.86513028572806e-07,7.48584449394902
"5256","EEF1A1",13.450617949257,13.450617949257,75.1794641499075,4.51361379315464e-10,3.86513028572806e-07,7.48505795368246
"21499","TPI1",9.38626514165785,9.38626514165785,74.5799770700776,4.73310304683912e-10,3.86513028572806e-07,7.4816427439215
"8266","HSPA9",9.25708476055539,9.25708476055539,73.5283868837702,5.14899161288262e-10,3.86513028572806e-07,7.47545779641175
"17761","RPL12",10.2890433898093,10.2890433898093,73.1476371562619,5.30999652081965e-10,3.86513028572806e-07,7.47315527935898
"21008","TMBIM6",9.56370998623403,9.56370998623403,72.9168420015303,5.41045383192715e-10,3.86513028572806e-07,7.47174277700509
"8090","HNRNPU",10.1612792338009,10.1612792338009,72.867922010871,5.43203126023664e-10,3.86513028572806e-07,7.4714417307495
"16313","PPIA",10.5203775561858,10.5203775561858,72.4987003234225,5.59816916505175e-10,3.86513028572806e-07,7.46915078929681
"22788","XRCC5",9.39117006528322,9.39117006528322,72.1295500586132,5.77024025319383e-10,3.86513028572806e-07,7.46682663053702
"5388","EIF4G1",10.27751173059,10.27751173059,71.2349959094189,6.21348851354775e-10,3.92840868217583e-07,7.46105090185492
"13990","NCL",10.5853344442134,10.5853344442134,71.1348237417942,6.26555816999865e-10,3.92840868217583e-07,7.46039116841657
"18445","SET",10.1337182965317,10.1337182965317,70.3494018800504,6.69197660238211e-10,3.92840868217583e-07,7.45512497798799
"21530","TPT1",10.0058301890616,10.0058301890616,68.895183712936,7.57441147856189e-10,3.92840868217583e-07,7.44491845716116
"207","ACTB",12.8761741654876,12.8761741654876,68.5998478614016,7.76984395296267e-10,3.92840868217583e-07,7.44276989838796
"4569","DDX21",9.21889822387632,9.21889822387632,68.0252637724427,8.16720189812081e-10,3.92840868217583e-07,7.43851341998767
"8087","HNRNPL",8.86736087152497,8.86736087152497,67.7305301612485,8.38021706712583e-10,3.92840868217583e-07,7.43629004929859
"568","ALDOA",10.0174285199254,10.0174285199254,67.6283743541925,8.45555886327318e-10,3.92840868217583e-07,7.43551297616358
"8070","HNRNPA1",9.61290358479388,9.61290358479388,67.3000940678851,8.70308506661286e-10,3.92840868217583e-07,7.4329930700068
"17771","RPL15",9.95421917647124,9.95421917647124,67.1540992474562,8.81587971462155e-10,3.92840868217583e-07,7.43186112847748
"17830","RPLP1",9.19243507565038,9.19243507565038,67.0239239964238,8.91789477654265e-10,3.92840868217583e-07,7.43084592167435
"17824","RPL7A",10.5411944125694,10.5411944125694,66.38012296591,9.44316173662715e-10,3.92840868217583e-07,7.42574160336386
"5361","EIF3A",9.2673976191681,9.2673976191681,66.0718970706337,9.7073859278458e-10,3.92840868217583e-07,7.42324770589197
"6530","FLNB",9.76104432537094,9.76104432537094,65.7451546411032,9.99696580217018e-10,3.92840868217583e-07,7.4205676655728
"22804","YBX1",10.3838811384691,10.3838811384691,65.6126860806452,1.01172347756763e-09,3.92840868217583e-07,7.41947031308248
"16662","PRRC2A",9.18410305196733,9.18410305196733,65.609813245784,1.01198617058043e-09,3.92840868217583e-07,7.41944644521908
"8072","HNRNPA1P10",9.25069771668639,9.25069771668639,65.5141403451673,1.02078022043444e-09,3.92840868217583e-07,7.41864988626327
"22789","XRCC6",9.41649951392805,9.41649951392805,65.4379609302589,1.0278463581032e-09,3.92840868217583e-07,7.41801326335667
"5391","EIF4H",9.09528531809604,9.09528531809604,65.3963646844638,1.03172879529241e-09,3.92840868217583e-07,7.41766475994806
"6881","GANAB",8.9079181079024,8.9079181079024,65.2177762309777,1.04859345692921e-09,3.92840868217583e-07,7.41616133313611
